,Home,Home_Score,Away,Away_Score,Datetime,Stadium,Region,Temperature,Total_Score,Expected_Total_Score,Actually-Expected
119,LG,1,롯데,3,2022-04-30 17:00:00,잠실,서울,13.6,4,9.166666666666668,-5.166666666666668
120,SSG,2,두산,1,2022-04-30 17:00:00,문학,인천,11.6,3,9.430555555555555,-6.430555555555555
121,NC,0,한화,2,2022-04-30 17:00:00,창원,창원,15.0,2,8.402777777777777,-6.402777777777777
122,키움,4,KT,1,2022-04-30 17:00:00,고척,서울,13.6,5,8.694444444444445,-3.6944444444444446
123,LG,0,롯데,4,2022-05-01 14:00:00,잠실,서울,18.8,4,9.166666666666668,-5.166666666666668
124,SSG,0,두산,9,2022-05-01 14:00:00,문학,인천,15.1,9,9.430555555555555,-0.43055555555555536
125,NC,1,한화,2,2022-05-01 14:00:00,창원,창원,19.6,3,8.402777777777777,-5.402777777777777
126,KIA,3,삼성,6,2022-05-01 14:00:00,광주,광주,19.0,9,9.604166666666668,-0.6041666666666679
127,키움,9,KT,3,2022-05-01 14:00:00,고척,서울,18.8,12,8.694444444444445,3.3055555555555554
128,LG,4,두산,3,2022-05-03 18:30:00,잠실,서울,15.1,7,9.395833333333332,-2.395833333333332
129,SSG,4,한화,2,2022-05-03 18:30:00,문학,인천,12.5,6,8.916666666666666,-2.916666666666666
130,삼성,6,NC,10,2022-05-03 18:30:00,대구,대구,20.0,16,9.090277777777779,6.909722222222221
131,KT,10,롯데,5,2022-05-03 18:30:00,수원,수원,14.6,15,8.583333333333334,6.416666666666666
132,KIA,1,키움,7,2022-05-03 18:30:00,광주,광주,16.3,8,9.3125,-1.3125
133,LG,2,두산,5,2022-05-04 18:30:00,잠실,서울,19.8,7,9.395833333333332,-2.395833333333332
134,SSG,5,한화,8,2022-05-04 18:30:00,문학,인천,16.5,13,8.916666666666666,4.083333333333334
135,삼성,11,NC,5,2022-05-04 18:30:00,대구,대구,21.2,16,9.090277777777779,6.909722222222221
136,KT,0,롯데,5,2022-05-04 18:30:00,수원,수원,18.7,5,8.583333333333334,-3.583333333333334
137,KIA,4,키움,3,2022-05-04 18:30:00,광주,광주,18.9,7,9.3125,-2.3125
138,LG,4,두산,9,2022-05-05 14:00:00,잠실,서울,25.7,13,9.395833333333332,3.604166666666668
139,SSG,14,한화,4,2022-05-05 14:00:00,문학,인천,21.5,18,8.916666666666666,9.083333333333334
140,삼성,5,NC,2,2022-05-05 14:00:00,대구,대구,27.4,7,9.090277777777779,-2.0902777777777786
141,KT,8,롯데,2,2022-05-05 14:00:00,수원,수원,24.6,10,8.583333333333334,1.416666666666666
142,KIA,10,키움,1,2022-05-05 14:00:00,광주,광주,25.9,11,9.3125,1.6875
143,두산,0,KT,6,2022-05-06 18:30:00,잠실,서울,19.6,6,8.8125,-2.8125
144,롯데,0,삼성,5,2022-05-06 18:30:00,사직,부산,18.8,5,8.805555555555557,-3.805555555555557
145,NC,8,LG,15,2022-05-06 18:30:00,창원,창원,19.3,23,9.45138888888889,13.54861111111111
146,키움,9,SSG,2,2022-05-06 18:30:00,고척,서울,19.6,11,9.3125,1.6875
147,한화,2,KIA,13,2022-05-06 18:30:00,대전,대전,21.0,15,8.916666666666666,6.083333333333334
148,두산,11,KT,8,2022-05-07 17:00:00,잠실,서울,20.7,19,8.8125,10.1875
149,롯데,1,삼성,4,2022-05-07 17:00:00,사직,부산,17.4,5,8.805555555555557,-3.805555555555557
150,NC,3,LG,6,2022-05-07 17:00:00,창원,창원,23.1,9,9.45138888888889,-0.4513888888888893
151,키움,0,SSG,3,2022-05-07 17:00:00,고척,서울,20.7,3,9.3125,-6.3125
152,한화,4,KIA,5,2022-05-07 17:00:00,대전,대전,21.3,9,8.916666666666666,0.08333333333333393
153,두산,0,KT,5,2022-05-08 14:00:00,잠실,서울,17.6,5,8.8125,-3.8125
154,롯데,2,삼성,4,2022-05-08 14:00:00,사직,부산,19.1,6,8.805555555555557,-2.805555555555557
155,NC,2,LG,3,2022-05-08 14:00:00,창원,창원,18.9,5,9.45138888888889,-4.451388888888889
156,키움,2,SSG,6,2022-05-08 14:00:00,고척,서울,17.6,8,9.3125,-1.3125
157,한화,6,KIA,7,2022-05-08 14:00:00,대전,대전,23.3,13,8.916666666666666,4.083333333333334
158,LG,9,한화,1,2022-05-10 18:30:00,잠실,서울,20.6,10,8.881944444444445,1.1180555555555554
159,롯데,7,NC,0,2022-05-10 18:30:00,사직,부산,15.6,7,8.6875,-1.6875
160,삼성,1,SSG,3,2022-05-10 18:30:00,대구,대구,17.5,4,9.604166666666668,-5.604166666666668
161,KIA,1,KT,0,2022-05-10 18:30:00,광주,광주,18.8,1,9.381944444444445,-8.381944444444445
162,키움,0,두산,9,2022-05-10 18:30:00,고척,서울,20.6,9,8.743055555555555,0.25694444444444464
163,LG,5,한화,2,2022-05-11 18:30:00,잠실,서울,18.6,7,8.881944444444445,-1.8819444444444446
164,롯데,6,NC,5,2022-05-11 18:30:00,사직,부산,18.5,11,8.6875,2.3125
165,삼성,6,SSG,5,2022-05-11 18:30:00,대구,대구,24.1,11,9.604166666666668,1.3958333333333321
166,KIA,5,KT,10,2022-05-11 18:30:00,광주,광주,20.8,15,9.381944444444445,5.618055555555555
167,키움,1,두산,5,2022-05-11 18:30:00,고척,서울,18.6,6,8.743055555555555,-2.7430555555555554
168,LG,11,한화,7,2022-05-12 18:30:00,잠실,서울,21.6,18,8.881944444444445,9.118055555555555
169,롯데,2,NC,4,2022-05-12 18:30:00,사직,부산,17.5,6,8.6875,-2.6875
170,삼성,4,SSG,2,2022-05-12 18:30:00,대구,대구,18.7,6,9.604166666666668,-3.604166666666668
171,KIA,5,KT,4,2022-05-12 18:30:00,광주,광주,21.0,9,9.381944444444445,-0.38194444444444464
172,키움,2,두산,3,2022-05-12 18:30:00,고척,서울,21.6,5,8.743055555555555,-3.7430555555555554
173,LG,1,KIA,10,2022-05-13 18:30:00,잠실,서울,18.6,11,9.965277777777779,1.0347222222222214
174,SSG,2,NC,6,2022-05-13 18:30:00,문학,인천,17.8,8,9.48611111111111,-1.4861111111111107
175,KT,5,키움,7,2022-05-13 18:30:00,수원,수원,19.2,12,8.694444444444445,3.3055555555555554
176,한화,1,롯데,8,2022-05-13 18:30:00,대전,대전,18.0,9,8.118055555555555,0.8819444444444446
177,LG,5,KIA,3,2022-05-14 17:00:00,잠실,서울,17.6,8,9.965277777777779,-1.9652777777777786
178,SSG,2,NC,1,2022-05-14 17:00:00,문학,인천,15.7,3,9.48611111111111,-6.486111111111111
