,Home,Home_Score,Away,Away_Score,Datetime,Stadium
286,KIA,5,LG,1,2022-06-09 18:30:00,광주
287,키움,1,KT,7,2022-06-09 18:30:00,고척
288,LG,10,두산,7,2022-06-10 18:30:00,잠실
289,SSG,9,한화,2,2022-06-10 18:30:00,문학
290,롯데,4,KT,9,2022-06-10 18:30:00,사직
291,삼성,1,NC,9,2022-06-10 18:30:00,대구
292,KIA,6,키움,10,2022-06-10 18:30:00,광주
293,LG,4,두산,5,2022-06-11 17:00:00,잠실
294,SSG,4,한화,2,2022-06-11 17:00:00,문학
295,롯데,0,KT,4,2022-06-11 17:00:00,사직
296,삼성,1,NC,4,2022-06-11 17:00:00,대구
297,KIA,5,키움,2,2022-06-11 17:00:00,광주
298,LG,9,두산,6,2022-06-12 17:00:00,잠실
299,SSG,13,한화,11,2022-06-12 17:00:00,문학
300,롯데,13,KT,0,2022-06-12 17:00:00,사직
301,삼성,4,NC,2,2022-06-12 17:00:00,대구
302,KIA,8,키움,10,2022-06-12 17:00:00,광주
303,LG,7,삼성,0,2022-06-14 18:30:00,잠실
304,KT,5,SSG,4,2022-06-14 18:30:00,수원
305,키움,2,두산,0,2022-06-14 18:30:00,고척
306,LG,3,삼성,6,2022-06-15 18:30:00,잠실
307,NC,7,KIA,2,2022-06-15 18:30:00,창원
308,KT,6,SSG,3,2022-06-15 18:30:00,수원
309,키움,3,두산,4,2022-06-15 18:30:00,고척
310,한화,5,롯데,11,2022-06-15 18:30:00,대전
311,LG,2,삼성,1,2022-06-16 18:30:00,잠실
312,NC,2,KIA,4,2022-06-16 18:30:00,창원
313,KT,0,SSG,6,2022-06-16 18:30:00,수원
314,키움,6,두산,2,2022-06-16 18:30:00,고척
315,한화,0,롯데,3,2022-06-16 18:30:00,대전
316,두산,2,KT,4,2022-06-17 18:30:00,잠실
317,롯데,2,SSG,6,2022-06-17 18:30:00,사직
318,NC,1,한화,1,2022-06-17 18:30:00,창원
319,KIA,5,삼성,3,2022-06-17 18:30:00,광주
320,키움,2,LG,4,2022-06-17 18:30:00,고척
321,키움,2,LG,0,2022-06-18 14:00:00,고척
322,두산,5,KT,0,2022-06-18 17:00:00,잠실
323,롯데,5,SSG,10,2022-06-18 17:00:00,사직
324,NC,3,한화,2,2022-06-18 17:00:00,창원
325,KIA,2,삼성,6,2022-06-18 17:00:00,광주
326,키움,2,LG,4,2022-06-19 14:00:00,고척
327,두산,1,KT,7,2022-06-19 17:00:00,잠실
328,롯데,7,SSG,4,2022-06-19 17:00:00,사직
329,NC,6,한화,3,2022-06-19 17:00:00,창원
330,KIA,3,삼성,7,2022-06-19 17:00:00,광주
331,LG,10,한화,4,2022-06-21 18:30:00,잠실
332,SSG,2,두산,16,2022-06-21 18:30:00,문학
333,삼성,3,키움,4,2022-06-21 18:30:00,대구
334,KT,8,NC,1,2022-06-21 18:30:00,수원
335,KIA,6,롯데,5,2022-06-21 18:30:00,광주
336,LG,6,한화,5,2022-06-22 18:30:00,잠실
337,SSG,6,두산,5,2022-06-22 18:30:00,문학
338,삼성,0,키움,6,2022-06-22 18:30:00,대구
339,KT,0,NC,11,2022-06-22 18:30:00,수원
340,KIA,5,롯데,7,2022-06-22 18:30:00,광주
341,삼성,1,키움,6,2022-06-23 18:30:00,대구
342,KIA,7,롯데,4,2022-06-23 18:30:00,광주
343,두산,3,KIA,4,2022-06-24 18:30:00,잠실
344,SSG,14,NC,2,2022-06-24 18:30:00,문학
345,롯데,5,키움,1,2022-06-24 18:30:00,사직
346,KT,9,LG,6,2022-06-24 18:30:00,수원
347,한화,3,삼성,0,2022-06-24 18:30:00,대전
348,두산,6,KIA,8,2022-06-25 17:00:00,잠실
349,SSG,8,NC,1,2022-06-25 17:00:00,문학
350,롯데,5,키움,13,2022-06-25 17:00:00,사직
351,KT,2,LG,7,2022-06-25 17:00:00,수원
352,한화,2,삼성,5,2022-06-25 17:00:00,대전
353,두산,8,KIA,4,2022-06-26 17:00:00,잠실
354,SSG,7,NC,3,2022-06-26 17:00:00,문학
355,롯데,4,키움,9,2022-06-26 17:00:00,사직
356,KT,1,LG,3,2022-06-26 17:00:00,수원
357,한화,2,삼성,6,2022-06-26 17:00:00,대전
358,LG,5,NC,0,2022-06-28 18:30:00,잠실
359,롯데,3,두산,3,2022-06-28 18:30:00,사직
360,삼성,4,KT,14,2022-06-28 18:30:00,대구
361,키움,5,KIA,2,2022-06-28 18:30:00,고척
362,한화,6,SSG,3,2022-06-28 18:30:00,대전
363,삼성,8,KT,2,2022-06-29 18:30:00,대구
364,키움,1,KIA,0,2022-06-29 18:30:00,고척
365,한화,3,SSG,8,2022-06-29 18:30:00,대전
366,롯데,5,두산,1,2022-06-30 18:30:00,사직
367,삼성,2,KT,13,2022-06-30 18:30:00,대구
368,키움,5,KIA,4,2022-06-30 18:30:00,고척
369,LG,2,롯데,1,2022-07-01 18:30:00,잠실
370,SSG,7,KIA,6,2022-07-01 18:30:00,문학
371,KT,11,두산,7,2022-07-01 18:30:00,수원
372,키움,7,한화,5,2022-07-01 18:30:00,고척
373,키움,3,한화,0,2022-07-02 14:00:00,고척
374,LG,1,롯데,8,2022-07-02 18:00:00,잠실
375,SSG,2,KIA,1,2022-07-02 18:00:00,문학
376,NC,17,삼성,1,2022-07-02 18:00:00,창원
377,KT,8,두산,3,2022-07-02 18:00:00,수원
378,키움,2,한화,1,2022-07-03 14:00:00,고척
379,LG,4,롯데,1,2022-07-03 17:00:00,잠실
380,SSG,3,KIA,2,2022-07-03 17:00:00,문학
381,NC,11,삼성,6,2022-07-03 17:00:00,창원
382,KT,6,두산,0,2022-07-03 17:00:00,수원
383,두산,3,키움,4,2022-07-05 18:30:00,잠실
384,SSG,4,롯데,3,2022-07-05 18:30:00,문학
385,삼성,1,LG,4,2022-07-05 18:30:00,대구
386,한화,0,NC,1,2022-07-05 18:30:00,대전
387,두산,5,키움,2,2022-07-06 18:30:00,잠실
388,SSG,5,롯데,12,2022-07-06 18:30:00,문학
389,삼성,9,LG,10,2022-07-06 18:30:00,대구
390,KIA,1,KT,8,2022-07-06 18:30:00,광주
391,한화,3,NC,4,2022-07-06 18:30:00,대전
392,두산,4,키움,2,2022-07-07 18:30:00,잠실
393,SSG,8,롯데,1,2022-07-07 18:30:00,문학
394,삼성,9,LG,11,2022-07-07 18:30:00,대구
395,한화,12,NC,11,2022-07-07 18:30:00,대전
396,두산,4,LG,11,2022-07-08 18:30:00,잠실
397,삼성,8,SSG,9,2022-07-08 18:30:00,대구
398,KT,6,롯데,3,2022-07-08 18:30:00,수원
399,KIA,5,한화,3,2022-07-08 18:30:00,광주
400,키움,3,NC,2,2022-07-08 18:30:00,고척
401,키움,10,NC,1,2022-07-09 14:00:00,고척
402,두산,6,LG,8,2022-07-09 18:00:00,잠실
403,삼성,10,SSG,13,2022-07-09 18:00:00,대구
404,KT,3,롯데,1,2022-07-09 18:00:00,수원
405,KIA,6,한화,5,2022-07-09 18:00:00,광주
406,키움,2,NC,0,2022-07-10 14:00:00,고척
407,두산,0,LG,9,2022-07-10 17:00:00,잠실
408,삼성,2,SSG,7,2022-07-10 17:00:00,대구
409,KT,1,롯데,9,2022-07-10 17:00:00,수원
410,KIA,6,한화,3,2022-07-10 17:00:00,광주
411,LG,1,KIA,7,2022-07-12 18:30:00,잠실
412,SSG,7,키움,3,2022-07-12 18:30:00,문학
413,롯데,3,한화,2,2022-07-12 18:30:00,사직
