,지점,지점명,일시,기온(°C)
334,108,서울,2022-07-21 18:00:00,24.6
335,108,서울,2022-07-21 20:00:00,24.7
336,108,서울,2022-07-22 15:00:00,26.3
337,108,서울,2022-07-22 18:00:00,26.9
338,108,서울,2022-07-22 20:00:00,25.6
339,108,서울,2022-07-23 15:00:00,27.6
340,108,서울,2022-07-23 18:00:00,25.6
341,108,서울,2022-07-23 20:00:00,24.4
342,108,서울,2022-07-24 15:00:00,27.2
343,108,서울,2022-07-24 18:00:00,26.8
344,108,서울,2022-07-24 20:00:00,26.1
345,108,서울,2022-07-25 15:00:00,31.4
346,108,서울,2022-07-25 18:00:00,31.3
347,108,서울,2022-07-25 20:00:00,28.7
348,108,서울,2022-07-26 15:00:00,32.2
349,108,서울,2022-07-26 18:00:00,31.8
350,108,서울,2022-07-26 20:00:00,29.9
351,108,서울,2022-07-27 15:00:00,33.0
352,108,서울,2022-07-27 18:00:00,31.9
353,108,서울,2022-07-27 20:00:00,29.7
354,108,서울,2022-07-28 15:00:00,34.2
355,108,서울,2022-07-28 18:00:00,32.7
356,108,서울,2022-07-28 20:00:00,31.1
357,108,서울,2022-07-29 15:00:00,34.1
358,108,서울,2022-07-29 18:00:00,32.8
359,108,서울,2022-07-29 20:00:00,30.9
360,108,서울,2022-07-30 15:00:00,33.8
361,108,서울,2022-07-30 18:00:00,32.5
362,108,서울,2022-07-30 20:00:00,30.9
363,108,서울,2022-07-31 15:00:00,27.0
364,108,서울,2022-07-31 18:00:00,26.8
365,108,서울,2022-07-31 20:00:00,26.4
366,108,서울,2022-08-01 15:00:00,32.0
367,108,서울,2022-08-01 18:00:00,31.7
368,108,서울,2022-08-01 20:00:00,30.2
369,108,서울,2022-08-02 15:00:00,27.2
370,108,서울,2022-08-02 18:00:00,26.3
371,108,서울,2022-08-02 20:00:00,26.5
372,108,서울,2022-08-03 15:00:00,28.9
373,108,서울,2022-08-03 18:00:00,28.8
374,108,서울,2022-08-03 20:00:00,27.8
375,108,서울,2022-08-04 15:00:00,32.5
376,108,서울,2022-08-04 18:00:00,31.3
377,108,서울,2022-08-04 20:00:00,29.0
378,108,서울,2022-08-05 15:00:00,32.5
379,108,서울,2022-08-05 18:00:00,31.5
380,108,서울,2022-08-05 20:00:00,29.6
381,108,서울,2022-08-06 15:00:00,30.0
382,108,서울,2022-08-06 18:00:00,30.0
383,108,서울,2022-08-06 20:00:00,29.3
384,108,서울,2022-08-07 15:00:00,31.4
385,108,서울,2022-08-07 18:00:00,30.1
386,108,서울,2022-08-07 20:00:00,29.4
387,108,서울,2022-08-08 15:00:00,25.4
388,108,서울,2022-08-08 18:00:00,25.5
389,108,서울,2022-08-08 20:00:00,26.2
390,108,서울,2022-08-09 15:00:00,26.1
391,108,서울,2022-08-09 18:00:00,26.0
392,108,서울,2022-08-09 20:00:00,25.2
393,108,서울,2022-08-10 15:00:00,28.7
394,108,서울,2022-08-10 18:00:00,26.0
395,108,서울,2022-08-10 20:00:00,25.4
396,108,서울,2022-08-11 15:00:00,27.4
397,108,서울,2022-08-11 18:00:00,26.3
398,108,서울,2022-08-11 20:00:00,25.9
399,108,서울,2022-08-12 15:00:00,31.6
400,108,서울,2022-08-12 18:00:00,31.2
401,108,서울,2022-08-12 20:00:00,27.8
402,108,서울,2022-08-13 15:00:00,24.9
403,108,서울,2022-08-13 18:00:00,27.4
404,108,서울,2022-08-13 20:00:00,26.4
405,108,서울,2022-08-14 15:00:00,31.0
406,108,서울,2022-08-14 18:00:00,28.7
407,108,서울,2022-08-14 20:00:00,27.9
408,108,서울,2022-08-15 15:00:00,29.4
409,108,서울,2022-08-15 18:00:00,28.6
410,108,서울,2022-08-15 20:00:00,27.7
411,108,서울,2022-08-16 15:00:00,29.8
412,108,서울,2022-08-16 18:00:00,29.5
413,108,서울,2022-08-16 20:00:00,27.1
414,108,서울,2022-08-17 15:00:00,28.4
415,108,서울,2022-08-17 18:00:00,28.3
416,108,서울,2022-08-17 20:00:00,26.5
417,108,서울,2022-08-18 15:00:00,29.2
418,108,서울,2022-08-18 18:00:00,27.3
419,108,서울,2022-08-18 20:00:00,26.1
420,108,서울,2022-08-19 15:00:00,27.2
421,108,서울,2022-08-19 18:00:00,26.7
422,108,서울,2022-08-19 20:00:00,27.0
423,108,서울,2022-08-20 15:00:00,31.8
424,108,서울,2022-08-20 18:00:00,30.8
425,108,서울,2022-08-20 20:00:00,28.6
426,108,서울,2022-08-21 15:00:00,31.2
427,108,서울,2022-08-21 18:00:00,30.9
428,108,서울,2022-08-21 20:00:00,28.6
429,108,서울,2022-08-22 15:00:00,29.5
430,108,서울,2022-08-22 18:00:00,28.1
431,108,서울,2022-08-22 20:00:00,27.3
432,108,서울,2022-08-23 15:00:00,29.8
433,108,서울,2022-08-23 18:00:00,28.8
434,108,서울,2022-08-23 20:00:00,26.1
435,108,서울,2022-08-24 15:00:00,26.6
436,108,서울,2022-08-24 18:00:00,26.2
437,108,서울,2022-08-24 20:00:00,25.0
438,108,서울,2022-08-25 15:00:00,22.1
439,108,서울,2022-08-25 18:00:00,22.5
440,108,서울,2022-08-25 20:00:00,21.9
441,108,서울,2022-08-26 15:00:00,28.2
442,108,서울,2022-08-26 18:00:00,25.9
443,108,서울,2022-08-26 20:00:00,24.1
444,108,서울,2022-08-27 15:00:00,25.0
445,108,서울,2022-08-27 18:00:00,24.5
446,108,서울,2022-08-27 20:00:00,22.0
447,108,서울,2022-08-28 15:00:00,27.6
448,108,서울,2022-08-28 18:00:00,27.0
449,108,서울,2022-08-28 20:00:00,24.3
450,108,서울,2022-08-29 15:00:00,22.2
451,108,서울,2022-08-29 18:00:00,21.4
452,108,서울,2022-08-29 20:00:00,21.0
453,108,서울,2022-08-30 15:00:00,19.6
454,108,서울,2022-08-30 18:00:00,19.7
455,108,서울,2022-08-30 20:00:00,19.6
456,108,서울,2022-08-31 15:00:00,23.6
457,108,서울,2022-08-31 18:00:00,24.8
458,108,서울,2022-08-31 20:00:00,22.4
459,108,서울,2022-09-01 15:00:00,30.0
460,108,서울,2022-09-01 18:00:00,28.6
461,108,서울,2022-09-01 20:00:00,26.0
462,108,서울,2022-09-02 15:00:00,29.2
463,108,서울,2022-09-02 18:00:00,28.6
464,108,서울,2022-09-02 20:00:00,25.8
465,108,서울,2022-09-03 15:00:00,29.0
466,108,서울,2022-09-03 18:00:00,26.6
467,108,서울,2022-09-03 20:00:00,25.2
468,108,서울,2022-09-04 15:00:00,22.7
469,108,서울,2022-09-04 18:00:00,23.8
470,108,서울,2022-09-04 20:00:00,23.9
471,108,서울,2022-09-05 15:00:00,18.7
472,108,서울,2022-09-05 18:00:00,17.9
473,108,서울,2022-09-05 20:00:00,17.8
474,108,서울,2022-09-06 15:00:00,25.8
475,108,서울,2022-09-06 18:00:00,25.1
476,108,서울,2022-09-06 20:00:00,22.1
477,108,서울,2022-09-07 15:00:00,27.8
478,108,서울,2022-09-07 18:00:00,26.1
479,108,서울,2022-09-07 20:00:00,22.9
480,108,서울,2022-09-08 15:00:00,29.0
481,108,서울,2022-09-08 18:00:00,28.0
482,108,서울,2022-09-08 20:00:00,24.8
483,108,서울,2022-09-09 15:00:00,30.2
484,108,서울,2022-09-09 18:00:00,28.7
485,108,서울,2022-09-09 20:00:00,25.5
486,108,서울,2022-09-10 15:00:00,27.8
487,108,서울,2022-09-10 18:00:00,26.9
488,108,서울,2022-09-10 20:00:00,24.8
489,108,서울,2022-09-11 15:00:00,25.9
490,108,서울,2022-09-11 18:00:00,24.3
491,108,서울,2022-09-11 20:00:00,22.9
492,108,서울,2022-09-12 15:00:00,27.1
493,108,서울,2022-09-12 18:00:00,25.7
494,108,서울,2022-09-12 20:00:00,24.5
495,108,서울,2022-09-13 15:00:00,26.2
496,108,서울,2022-09-13 18:00:00,25.7
497,108,서울,2022-09-13 20:00:00,25.2
498,108,서울,2022-09-14 15:00:00,27.5
499,108,서울,2022-09-14 18:00:00,25.2
500,108,서울,2022-09-14 20:00:00,23.8
501,108,서울,2022-09-15 15:00:00,28.0
502,108,서울,2022-09-15 18:00:00,27.1
503,108,서울,2022-09-15 20:00:00,26.3
504,108,서울,2022-09-16 15:00:00,29.3
505,108,서울,2022-09-16 18:00:00,26.0
506,108,서울,2022-09-16 20:00:00,25.6
507,108,서울,2022-09-17 15:00:00,28.8
508,108,서울,2022-09-17 18:00:00,28.8
509,108,서울,2022-09-17 20:00:00,26.5
510,108,서울,2022-09-18 15:00:00,32.0
511,108,서울,2022-09-18 18:00:00,31.3
512,108,서울,2022-09-18 20:00:00,28.3
513,108,서울,2022-09-19 15:00:00,28.0
514,108,서울,2022-09-19 18:00:00,24.2
515,108,서울,2022-09-19 20:00:00,22.5
516,108,서울,2022-09-20 15:00:00,24.3
517,108,서울,2022-09-20 18:00:00,22.5
518,108,서울,2022-09-20 20:00:00,19.9
519,108,서울,2022-09-21 15:00:00,25.3
520,108,서울,2022-09-21 18:00:00,22.8
521,108,서울,2022-09-21 20:00:00,20.9
522,108,서울,2022-09-22 15:00:00,24.6
523,108,서울,2022-09-22 18:00:00,22.8
524,108,서울,2022-09-22 20:00:00,21.3
525,108,서울,2022-09-23 15:00:00,19.9
526,108,서울,2022-09-23 18:00:00,18.2
527,108,서울,2022-09-23 20:00:00,16.8
528,108,서울,2022-09-24 15:00:00,24.1
529,108,서울,2022-09-24 18:00:00,22.1
530,108,서울,2022-09-24 20:00:00,20.0
531,108,서울,2022-09-25 15:00:00,25.0
532,108,서울,2022-09-25 18:00:00,23.2
533,108,서울,2022-09-25 20:00:00,20.4
534,108,서울,2022-09-26 15:00:00,25.3
535,108,서울,2022-09-26 18:00:00,23.5
536,108,서울,2022-09-26 20:00:00,20.9
537,108,서울,2022-09-27 15:00:00,27.6
538,108,서울,2022-09-27 18:00:00,25.8
539,108,서울,2022-09-27 20:00:00,22.4
540,108,서울,2022-09-28 15:00:00,25.6
541,108,서울,2022-09-28 18:00:00,23.9
542,108,서울,2022-09-28 20:00:00,21.7
543,108,서울,2022-09-29 15:00:00,26.0
544,108,서울,2022-09-29 18:00:00,23.6
545,108,서울,2022-09-29 20:00:00,20.6
546,108,서울,2022-09-30 15:00:00,27.0
547,108,서울,2022-09-30 18:00:00,25.0
548,108,서울,2022-09-30 20:00:00,21.8
549,108,서울,2022-10-01 15:00:00,27.1
550,108,서울,2022-10-01 18:00:00,24.1
551,108,서울,2022-10-01 20:00:00,22.2
552,108,서울,2022-10-02 15:00:00,21.1
553,108,서울,2022-10-02 18:00:00,19.8
554,108,서울,2022-10-02 20:00:00,17.9
555,108,서울,2022-10-03 15:00:00,22.9
556,108,서울,2022-10-03 18:00:00,23.2
557,108,서울,2022-10-03 20:00:00,23.3
558,108,서울,2022-10-04 15:00:00,19.1
559,108,서울,2022-10-04 18:00:00,17.4
560,108,서울,2022-10-04 20:00:00,16.4
561,108,서울,2022-10-05 15:00:00,21.3
562,108,서울,2022-10-05 18:00:00,17.7
563,108,서울,2022-10-05 20:00:00,16.7
564,108,서울,2022-10-06 15:00:00,18.7
565,108,서울,2022-10-06 18:00:00,17.1
566,108,서울,2022-10-06 20:00:00,16.0
567,108,서울,2022-10-07 15:00:00,18.3
568,108,서울,2022-10-07 18:00:00,16.7
569,108,서울,2022-10-07 20:00:00,15.0
570,108,서울,2022-10-08 15:00:00,21.4
571,108,서울,2022-10-08 18:00:00,18.7
572,108,서울,2022-10-08 20:00:00,16.0
573,108,서울,2022-10-09 15:00:00,13.6
574,108,서울,2022-10-09 18:00:00,13.5
575,108,서울,2022-10-09 20:00:00,11.1
576,108,서울,2022-10-10 15:00:00,11.7
577,108,서울,2022-10-10 18:00:00,9.4
578,108,서울,2022-10-10 20:00:00,8.4
579,108,서울,2022-10-11 15:00:00,16.3
